,Year,Continent,Disaster Type,Number of Disasters,Difference from Previous Year,% Difference from Previous Year
462,1995,Europe,Storm,10,-16.0,-61.53846153846154
463,1995,Europe,Wildfire,1,-2.0,-66.66666666666666
464,1995,Oceania,Storm,4,-6.0,-60.0
465,1996,Africa,Drought,5,4.0,400.0
466,1996,Africa,Flood,17,10.0,142.85714285714286
467,1996,Africa,Landslide,1,-2.0,-66.66666666666666
468,1996,Africa,Storm,6,2.0,50.0
469,1996,Americas,Drought,1,-4.0,-80.0
470,1996,Americas,Flood,21,4.0,23.52941176470588
471,1996,Americas,Landslide,6,5.0,500.0
472,1996,Americas,Storm,30,24.0,400.0
473,1996,Americas,Wildfire,2,1.0,100.0
474,1996,Asia,Drought,1,0.0,0.0
475,1996,Asia,Flood,38,17.0,80.95238095238095
476,1996,Asia,Landslide,12,6.0,100.0
477,1996,Asia,Storm,29,-1.0,-3.3333333333333335
478,1996,Asia,Wildfire,2,0.0,0.0
479,1996,Europe,Flood,14,-24.0,-63.1578947368421
480,1996,Europe,Landslide,3,-9.0,-75.0
481,1996,Europe,Storm,5,-24.0,-82.75862068965517
482,1996,Europe,Wildfire,1,-1.0,-50.0
483,1996,Oceania,Flood,2,-12.0,-85.71428571428571
484,1996,Oceania,Landslide,2,-1.0,-33.33333333333333
485,1996,Oceania,Storm,7,2.0,40.0
486,1997,Africa,Drought,5,4.0,400.0
487,1997,Africa,Flood,18,16.0,800.0
488,1997,Africa,Landslide,1,-1.0,-50.0
489,1997,Africa,Storm,4,-3.0,-42.857142857142854
490,1997,Africa,Wildfire,1,0.0,0.0
491,1997,Americas,Drought,4,-1.0,-20.0
492,1997,Americas,Flood,22,4.0,22.22222222222222
493,1997,Americas,Landslide,2,1.0,100.0
494,1997,Americas,Storm,34,30.0,750.0
495,1997,Americas,Wildfire,5,4.0,400.0
496,1997,Asia,Drought,3,-1.0,-25.0
497,1997,Asia,Flood,36,14.0,63.63636363636363
498,1997,Asia,Landslide,8,6.0,300.0
499,1997,Asia,Storm,28,-6.0,-17.647058823529413
500,1997,Asia,Wildfire,3,-2.0,-40.0
501,1997,Europe,Drought,3,0.0,0.0
502,1997,Europe,Flood,17,-19.0,-52.77777777777778
503,1997,Europe,Landslide,1,-7.0,-87.5
504,1997,Europe,Storm,7,-21.0,-75.0
505,1997,Europe,Wildfire,4,1.0,33.33333333333333
506,1997,Oceania,Drought,2,-1.0,-33.33333333333333
507,1997,Oceania,Flood,2,-15.0,-88.23529411764706
508,1997,Oceania,Landslide,1,0.0,0.0
509,1997,Oceania,Storm,6,-1.0,-14.285714285714285
510,1997,Oceania,Wildfire,3,-1.0,-25.0
511,1998,Africa,Drought,8,6.0,300.0
512,1998,Africa,Flood,21,19.0,950.0
513,1998,Africa,Landslide,1,0.0,0.0
514,1998,Africa,Storm,1,-5.0,-83.33333333333334
515,1998,Africa,Wildfire,3,0.0,0.0
516,1998,Americas,Drought,5,-3.0,-37.5
517,1998,Americas,Flood,18,-3.0,-14.285714285714285
518,1998,Americas,Landslide,6,5.0,500.0
519,1998,Americas,Storm,41,40.0,4000.0
520,1998,Americas,Wildfire,8,5.0,166.66666666666669
521,1998,Asia,Drought,3,-2.0,-40.0
522,1998,Asia,Flood,35,17.0,94.44444444444444
523,1998,Asia,Landslide,11,5.0,83.33333333333334
524,1998,Asia,Storm,32,-9.0,-21.951219512195124
525,1998,Asia,Wildfire,4,-4.0,-50.0
526,1998,Europe,Drought,1,-2.0,-66.66666666666666
527,1998,Europe,Flood,13,-22.0,-62.857142857142854
528,1998,Europe,Landslide,2,-9.0,-81.81818181818183
529,1998,Europe,Storm,11,-21.0,-65.625
530,1998,Europe,Wildfire,3,-1.0,-25.0
531,1998,Oceania,Drought,3,2.0,200.0
532,1998,Oceania,Flood,7,-6.0,-46.15384615384615
533,1998,Oceania,Landslide,2,0.0,0.0
534,1998,Oceania,Storm,3,-8.0,-72.72727272727273
535,1999,Africa,Drought,11,8.0,266.66666666666663
536,1999,Africa,Flood,34,27.0,385.7142857142857
537,1999,Africa,Storm,9,6.0,200.0
538,1999,Africa,Wildfire,1,-2.0,-66.66666666666666
